id,article_id,date,title,summary,url,other,media,source,locations,lat,long
1,483958,11/14/2022,NASA Awards Contracts for Acquisition of Liquid Hydrogen,"NASA has awarded contracts to Air Products and Chemicals Inc. of Allentown, Pennsylvania, and Linde Inc. of Danbury, Connecticut, to supply up to approximately 15 million pounds of liquid hydrogen for use at facilities across the agency. ",https://www.nasa.gov/press-release/nasa-awards-contracts-for-acquisition-of-liquid-hydrogen,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/nasa-logo-web-rgb_0.jpg,NASA,Huntsville,34.72053,-86.59997
2,483927,11/11/2022,NASA Sets New Coverage for Artemis I Moon Mission Launch ,NASA Sets New Coverage for Artemis I Moon Mission Launch ,https://www.nasa.gov/press-release/nasa-sets-new-coverage-for-artemis-i-moon-mission-launch,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/nhq202211110003.jpg,NASA,Brevard County,28.45444,-80.77451
3,483922,11/11/2022,NASA to Brief Status of Artemis I Moon Mission Today,NASA to Brief Status of Artemis I Moon Mission Today,https://www.nasa.gov/press-release/nasa-to-brief-status-of-artemis-i-moon-mission-today,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/artemisi111122.jpg,NASA,Washington, 38.89124,-76.93761
4,483917,11/11/2022,"NASA, ULA Successfully Launch Weather Satellite, Re-entry Tech Demo","NASA successfully launched the third in a series of polar-orbiting weather satellites for the National Oceanic and Atmospheric Administration (NOAA) at 1:49 a.m. PST Thursday, as well as an agency technology demonstration on a United Launch Alliance Atlas",https://www.nasa.gov/press-release/nasa-ula-successfully-launch-weather-satellite-re-entry-tech-demo,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/52490305672_0aab4fc589_o.jpeg,NASA,JPSS-2,-,-
5,483908,11/10/2022,Pioneering Astronaut Bob Behnken Retires from NASA,"NASA astronaut and former U.S. Air Force Col. Bob Behnken is retiring from NASA after 22 years of service. His last day with the agency is Friday, Nov. 11.",https://www.nasa.gov/press-release/pioneering-astronaut-bob-behnken-retires-from-nasa,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/behnken_atro_retires.jpg,NASA,St. Ann,38.72658,-90.38759
6,483903,11/10/2022,NASA to Brief Media on First Earth Water-Monitoring Satellite Mission,"NASA will host a virtual media briefing at 10:30 a.m. EST (7:30 a.m. PST) Nov. 14, at the agencyâ€™s Jet Propulsion Laboratory in Southern California, to discuss the upcoming launch of the Surface Water and Ocean Topography (SWOT) satellite.",https://www.nasa.gov/press-release/nasa-to-brief-media-on-first-earth-water-monitoring-satellite-mission,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/1-swot_l-30_media_advisory_iss.jpeg,NASA,California,38.62445,-92.55257
7,483845,11/7/2022,"NASA Updates Coverage of JPSS-2 Weather Satellite, LOFTID Tech Demo",NASA will provide coverage of the upcoming prelaunch and launch activities for the National Oceanic and Atmospheric Administrationâ€™s (NOAAâ€™s) Joint Polar Satellite System-2 (JPSS-2) mission and NASAâ€™s Low-Earth Orbit Flight Test of an Inflatable Decelerat,https://www.nasa.gov/press-release/nasa-updates-coverage-of-jpss-2-weather-satellite-loftid-tech-demo,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/jpss2_for_advisory.jpg,NASA,JPSS-2,-,-
8,483820,11/7/2022,NASA Administrator Names Glenn Research Center Director,"NASA Administrator Bill Nelson named Dr. Jimmy Kenyon director of the agencyâ€™s Glenn Research Center in Cleveland, effective immediately.",https://www.nasa.gov/press-release/nasa-administrator-names-glenn-research-center-director,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/kenyon_20190814_mg_9468.jpg,NASA,Glenn,39.58279,-122.0287
9,483821,11/7/2022,"NASA Science, Cargo Launches on Northrop Grumman Resupply Mission ","A Northrop Grumman Cygnus resupply spacecraft is on its way to the International Space Station with more than 8,200 pounds of science investigations and cargo after launching at 5:27 a.m. EST Monday from NASAâ€™s Wallops Flight Facility in Virginia. ",https://www.nasa.gov/press-release/nasa-science-cargo-launches-on-northrop-grumman-resupply-mission-0,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/ng_cygnus_rocket_nov_7_resupply_mission_0.jpg,NASA,Zimbabwe, -20.1106,28.53336
10,483815,11/4/2022,"NASA, USAID Partnership Strengthens Global Development","NASA and the U.S. Agency for International Development (USAID) signed an agreement Friday strengthening the collaboration between the two agencies, including efforts that advance the federal response to climate change.",https://www.nasa.gov/press-release/nasa-usaid-partnership-strengthens-global-development,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/nelson_and_power_mou_usaid_signing.jpg,NASA,Washington, 38.89124,-76.93761
11,483812,11/4/2022,NASA Leaders to Participate in Annual Global Climate Conference  ,"NASA will participate in the 27th United Nations Climate Change Conference of the Parties (COP27) in Sharm El Sheikh, Egypt, which begins Sunday, Nov. 6, and runs through Friday, Nov. 18. The COP27 summit brings together countries from around the world to",https://www.nasa.gov/press-release/nasa-leaders-to-participate-in-annual-global-climate-conference,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/cop_27_for_adv.jpeg,NASA,Sharm El Sheikh,27.94337,34.3797
12,483808,11/4/2022,NASA Sets Coverage for Artemis I Moon Mission Launch ,"NASA is targeting Monday, Nov. 14, for the launch of the Artemis I Moon mission during a 69-minute launch window that opens at 12:07 a.m. EST. ",https://www.nasa.gov/press-release/nasa-sets-coverage-for-artemis-i-moon-mission-launch,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/sls_rocket.jpg,NASA,Brevard County,28.45444,-80.77451
13,483806,11/4/2022,"As Psyche Mission Moves Forward, NASA Responds to Independent Review ","NASA and the agencyâ€™s Jet Propulsion Laboratory (JPL) in Southern California, which leads Psyche, shared a response Friday to the results of an independent review board convened to determine why the mission to study a metal-rich asteroid of the same name ",https://www.nasa.gov/press-release/as-psyche-mission-moves-forward-nasa-responds-to-independent-review,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/psyche_for_release_nov_4.jpg,NASA,Washington, 38.89124,-76.93761
14,483781,11/3/2022,NASA to Discuss Psyche Independent Review Board Results,"NASA will host a community townhall at 12 p.m. EDT on Friday, Nov. 4, followed by a media teleconference at 1 p.m. to discuss the findings and recommendations of a report by the Psyche mission independent review board. ",https://www.nasa.gov/press-release/nasa-to-discuss-psyche-independent-review-board-results,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/psyche_spacecraft.jpg,NASA,Washington, 38.89124,-76.93761
